Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
bot.py	https://github.com/jackumar901-ai/jalwa1234/issues/2		Todo		
requirement text	https://github.com/jackumar901-ai/jalwa1234/issues/3		Todo		
procfile	https://github.com/jackumar901-ai/jalwa1234/issues/4		Todo		
